date, pm25, pm10, o3, no2, so2, co
2023/9/24, 20, 10, 28, 14, 1, 
2023/9/25, 23, 14, 26, 19, 1, 
2023/9/26, 29, 18, 28, 20, 1, 
2023/9/27, 30, 17, 25, 15, , 
2023/9/28, 29, 19, 26, 25, , 
2023/9/29, 37, 27, 31, 28, 1, 
2023/9/30, 54, 22, 35, 15, , 
2023/4/1, 50, 21, 29, 6, , 
2023/4/2, 25, 15, 35, 11, , 
2023/4/3, 7, 16, 28, 9, , 
2023/4/4, 8, 19, 23, 15, , 
2023/4/5, 17, 18, 31, 9, , 
2023/4/6, 21, 15, 37, 8, , 
2023/4/13, 27, 24, 28, 13, 1, 
2023/4/14, 17, 24, 30, 13, 1, 
2023/4/15, 25, 18, 31, 14, , 
2023/4/16, 22, 19, 31, 20, , 
2023/4/17, 24, 22, 29, 17, , 
2023/4/18, 34, 20, 32, 20, , 
2023/4/20, 39, 33, 32, 13, , 
2023/4/21, 45, 35, 32, 14, , 
2023/4/22, 55, 35, 30, 10, , 
2023/4/23, 58, 32, 27, 16, , 
2023/4/24, 51, 30, 28, 16, , 
2023/4/25, 54, 28, 21, 18, , 
2023/4/26, 50, 32, 20, 22, , 
2023/4/27, 38, 33, 14, 28, , 
2023/4/28, 48, 34, 27, 19, , 
2023/4/29, 53, 18, 27, 12, , 
2023/4/30, 37, 12, 26, 10, , 
2023/5/1, 29, 16, 26, 17, , 
2023/5/2, 34, 19, 27, 18, , 
2023/5/3, 32, 20, 29, 15, , 
2023/5/4, 32, 20, 27, 15, , 
2023/5/5, 37, 21, 24, 25, , 
2023/5/6, 47, 17, 26, 17, , 
2023/5/7, 46, 15, 19, 25, , 
2023/5/8, 34, 27, 24, 37, , 
2023/5/9, 49, 23, 26, 15, , 
2023/5/10, 41, 19, 31, 13, , 
2023/5/11, 34, 12, 29, 17, , 
2023/5/12, 21, 12, 26, 18, , 
2023/5/13, 25, 10, 23, 14, , 
2023/5/14, 26, 14, 32, 21, , 
2023/5/15, 35, 20, 30, 21, 1, 
2023/5/16, 45, 18, 30, 16, 1, 
